CUST_ID,SITE_ID
117202875,MLM
148812484,MLB
146465162,MLB
28952931,MLB
323257373,MLB
79966156,MLA
273466651,MLB
235901042,MLB
53694759,MLB
210669259,MLC
282387800,MLB
191114485,MLM
136437314,MLB
532417235,MLB
531117189,MCO
444258030,MLB
1184082265,MLM
684098242,MLB
143342164,MLB
77626058,MLM
167022257,MLM
164227656,MLM
168165580,MLC
176483502,MLM
46252959,MLB
157363983,MLM
152548619,MLM
476436488,MLB
476293893,MLB
706498690,MLM
707946320,MLB
576732854,MLM
573911960,MLM
577420456,MLB
66704704,MLB
66287891,MLB
91981553,MLM
91168474,MLM
91474773,MLM
189241261,MLB
187873578,MLB
8113071,MLB
784138410,MLM
788394954,MLB
194632812,MLB
214408740,MLB
483834143,MLB
807430898,MLB
541175577,MLM
541297857,MLM
333668777,MLM
336112645,MLB
814623285,MLB
246184001,MLC
240540874,MLM
240312261,MLM
520779400,MLB
768131038,MLB
1148253752,MLB
11319941,MLB
758368982,MLB
38732526,MLB
609400681,MLB
313927286,MLB
161960254,MLB
1001257705,MLB
85008194,MLB
84129004,MLB
462041699,MLB
346522162,MLB
301636223,MLM
1163612222,MLB
206275228,MCO
553219255,MLB
236548564,MCO
758167553,MLM
750376131,MLM
291146556,MLA
640498762,MLB
640338175,MLA
537499195,MLM
534978871,MLM
592380331,MLM
247736824,MLA
1054996659,MCO
1079187562,MLM
1078174908,MLM
1074871259,MLB
102476830,MLB
661860666,MLM
1176988207,MLM
206901253,MLM
477146248,MLM
423915914,MLC
428679842,MLB
1040028750,MLB
1051663577,MLM
309587748,MLB
305394255,MLB
451403353,MLB
593290734,MLB
831397008,MLM
345329367,MLM
347594910,MLB
278926473,MLM
277487696,MLB
696467867,MLB
133408282,MLB
132936536,MLB
132375983,MLB
131977058,MLB
130335845,MLB
1136695367,MLM
1132064002,MLM
1107650231,MLB
319904644,MLM
316307679,MLM
775450826,MLM
779299835,MLB
433631192,MLB
359923867,MLM
355134770,MLM
294965542,MLC
337084459,MLM
184843727,MLB
181190507,MLB
453127203,MLM
456853078,MLB
80223113,MLA
175066744,MLB
227969004,MLB
155487059,MLB
209462415,MLB
206927499,MLB
295643155,MLM
483926908,MLM
489021872,MLB
483903060,MLC
1099628530,MLB
129783244,MLB
733030151,MLB
589459786,MLM
584433823,MLM
211763810,MLB
218256886,MLA
1020993939,MLB
148374150,MLB
169892061,MLB
167957508,MLB
73455336,MLB
71639611,MLB
236936220,MLB
236845752,MLB
53950448,MLB
212579795,MLM
219107179,MLB
282232711,MCO
193892214,MLM
